id,body
1215981031729307648,RT @tdotonian: @CDNConfucius @stevemcniven @TD_Canada @RBC @tdcanadatrust did the same to me!!! Sent me to collections over something like…
1215960656106573824,Supreme Court of BC dates for the Robert Wright Trust January 30th and 31st. #racialprofiling… https://t.co/v2S8ds5S32
1215959464085340165,#racialprofiling @RoyalTrust @RBC @PaisleyW2 https://t.co/IPjScufTJK
1215959139626536961,#racialprofiling @RoyalTrust @RBC @PaisleyW2 https://t.co/Hbw5PJm4kK
1215957851245441024,RT @prisk_heather: #racialprofiling @RoyalTrust @RBC @DominionSecurities https://t.co/UQGkhz06YL
1215956364817657856,RT @GPStorm: Thank you @RBC for sponsoring @TheAJHL and taking the time to talk to our boys about sound financial health! Better to learn i…
1215953143231631360,RT @AbdulAbdial: Yo don't store ur credit card info in the McDonald App. Some guy from Quebec ordered $50 of food using my card. God Bless…
1215950602447933441,#racialprofiling @RoyalTrust @RBC @DominionSecurities https://t.co/UQGkhz06YL
1215950449846603777,"RT @WilliamsRacing: Welcoming @RBC to our family of team partners 🙂 

Read more 👇"
1215948672900517888,"RT @WilliamsRacing: Welcoming @RBC to our family of team partners 🙂 

Read more 👇"
1215909214083784704,@stevemcniven @TD_Canada @RBC Why would anybody ever think a bank cared about them? They’re an entity not a friend.
1215908922319462401,"// when i left &amp; escalated my complaint, @RBC actually took them seriously and fixed the issue, but when I complain… https://t.co/4CTFLc9aib"
1215907873231757314,// this story is enraging. I don't use @BMO but @RBC accused my FN partner &amp; i of falsifying corporate documents wh… https://t.co/Pq73woG7ZI
1215907078558175232,"RT @WilliamsRacing: Welcoming @RBC to our family of team partners 🙂 

Read more 👇"
1215899694666342401,Did my rbc account get hacked?😭 have fun with my 80 cents @RBC what is this?? https://t.co/kdQoF4Eg1G
1215898273002721280,"RT @JoelleSinnige: Thanks so much to @RBC for the turkey dinner, after touring @sunnypointfarm. We really appreciate your Nova Scotian hosp…"
1215893529156710400,Now one question I always wanted to ask @RBC : why is it that when you are using RBC online the interface changes f… https://t.co/sMQWSKICjL
1215880204532551680,@Supermathie @RBC That’s the really sad truth.
1215880108722008065,RT @TopClassActions: A $7.5 million settlement has been reached in a @RBC Bank overdraft class action accusing the bank of reordering trans…
1215880106889138177,@hacks4pancakes I wish @RBC even *offered* 2FA at all.
1215878855572897792,"@RBC MyFinanceTracker has been unable to add a new asset for like a week now: ""Sorry, myFinanceTracker is temporari… https://t.co/ZqQ88zetFP"
1215867562082390016,@CDNConfucius @stevemcniven @TD_Canada @RBC @tdcanadatrust did the same to me!!! Sent me to collections over someth… https://t.co/xBnKeWlrhA
1215862929242775552,"@BMO @RBC is a greedy bank too, closed my account long ago. Fees for every damn thing."
1215860560090107904,RT @CDNConfucius: @stevemcniven @TD_Canada @RBC I had them pursue me for a credit card acct that i never opened twenty years ago for 200 lo…
1215855893176340480,"RT @WilliamsRacing: Welcoming @RBC to our family of team partners 🙂 

Read more 👇"
1215846934839099392,RT @BruceRalston: BC continues to lead the country as the only province with a triple-A credit rating and one with the lowest unemployment…
1215841984901980161,"RT @CJusticeTO: BREAKING: In case you missed it, 29 youth just occupied the offices of the prime financiers of the $6.6 billion Coastal Gas…"
1215840958442426369,Come on @RBC Do better. https://t.co/EIAcwIGnZg
1215838309026496519,Yo don't store ur credit card info in the McDonald App. Some guy from Quebec ordered $50 of food using my card. God… https://t.co/eCsNGqj2Iz
1215834183068573696,@Brendone5 @TD_Canada @RBC Finally got my shares today definitely not happy with TD Bank lost three-quarters of my… https://t.co/OeAx3s9MvA
1215831725495832576,RT @sorhay_posada: @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co Shareholde…
1215831191389114369,"@CTVToronto @RBC Then again, I remember that there were fraudulent charges charged to my WestJet RBC MasterCard sho… https://t.co/kz5J4mHE9W"
1215830746184736771,"@CTVToronto @RBC Most financial institutions will flag inconsistencies with an account, and contact a cardholder/cu… https://t.co/y2wWZTXBx7"
1215829899006615552,@CTVToronto How was nearly 9K in cheques cashed/withdrawn in overdraft weeks later from an account that was reporte… https://t.co/7U2mMsyfQU
1215829124125798405,@durellwambolt @CTVToronto @RBC I second this. They’re also diabolical as an insurance company in my experience. I… https://t.co/V1l00COn1W
1215828570225942528,Remind me to never ever EVERRRRR bank with @RBC ever in life. This is atrocious. And TERRIBLE customer service and… https://t.co/whRu3qR5hJ
1215827105839243264,RT @trebelsk: @RBC classic blame the victim mentality. No doubt writing off the $8000 will put a dent in your record profit of $12.9 billio…
1215824285467586560,@stevemcniven @TD_Canada @RBC Actually I went opposite it was RBC who was doing shady business complaint still on g… https://t.co/n3E0MtuLYW
1215823232361738240,RT @YoungerGolf: With assists from Canadian course architects @IanAndrewGolf &amp; @jeff_mingay and from @RBC EVP&amp; CMO @marydepaoli on the pass…
1215822322667610112,RT @sorhay_posada: @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co Shareholde…
1215815652679745543,"RT @Frayme_Cadre: Our Program At-A-Glance is now out for the #Frayme2020 Learning Institute! Amazing content coming from @jackdotorg, @Foun…"
1215811465304666118,"@WRHMURAMOTO @maaiika_girl @theokinawatimes 
@ryukyushimpo 
@YaeyamaMainiti 
@YaeyamaNippou  
@RBC 
それ実現したらとっても面白いと… https://t.co/wzAYnaHgGC"
1215804763587125250,"@RBC You suck and the teller that didn’t listen to and protect the customer, should be fired. https://t.co/OwAcVxMd61"
1215801540759314434,RT @ACAC_Sport: ACAC Teams Up with @RBC and @CMHA_AB to #MakeSomeNoise for Mental Health https://t.co/FTzKjuRslQ
1215800454900113408,"@JoDragon9 places half found funds daily into new bank of Newfoundland , asks rbc if interest still locked??? Tells… https://t.co/3jsqtKjuyq"
1215799402775941120,"@VictorJStiff @TFCA @RBC @rickmercer @cameron_tiff So excited for you, man!"
1215797676262002690,"RT @WilliamsRacing: Welcoming @RBC to our family of team partners 🙂 

Read more 👇"
1215797652975054848,"RT @PrairieRoseSD8: This afternoon students from Eagle Butte, Senator Gershaw and Foremost schools, along with students from Hat High, pitc…"
1215792840309125133,RT @YoungerGolf: With assists from Canadian course architects @IanAndrewGolf &amp; @jeff_mingay and from @RBC EVP&amp; CMO @marydepaoli on the pass…
1215788243935014913,"Very cool sounding session coming up with @RBC Disruptors: https://t.co/6fOTcbtHGk 

#ar @EdwardBurtynsky… https://t.co/4IUeZ7DYh1"
1215787707659517952,"RT @PrairieRoseSD8: This afternoon students from Eagle Butte, Senator Gershaw and Foremost schools, along with students from Hat High, pitc…"
1215785409902329856,"RT @WilliamsRacing: Welcoming @RBC to our family of team partners 🙂 

Read more 👇"
1215784160603922433,RT @akp_solutions: Very proud and excited to be featured as an @OwnrCo Success Story https://t.co/riWnlQ7j1V #entrepreneurship #startup #co…
1215784122486005760,@RBC classic blame the victim mentality. No doubt writing off the $8000 will put a dent in your record profit of $1… https://t.co/oPEYJ7juOW
1215783224644788224,Very proud and excited to be featured as an @OwnrCo Success Story https://t.co/riWnlQ7j1V #entrepreneurship #startup #consulting @RBC
1215782871048314880,@RBC classy move on stiffing the student who was robbed of $8K w/ recorder evidence proving it wasn’t here. how is… https://t.co/gXrY2YdX5D
1215782373360656384,RT @HfxPartnership: “I love the Connector Program. It allows me to meet fantastic people while at the same time helping them grow their pro…
1215781658554707974,@CTVToronto @RBC is absolutely the worst bank to deal with. They're the biggest scam artists
1215780337525104647,@RBC So a client of your advises they have lost their bank card.  You don't lock down the account and then blame th… https://t.co/zNPo9GaiW4
